Źródło,Nazwa,NazwaPL,Cecha,Min. Ręka,Rzucanie,Czas,Zasięg,Opis,As,Para,Para Figur,Dwie Pary,Trójka,Strit,Kolor,Ful,Kareta,Poker,Królewski Poker
Podstawka,Two of a Kind,Parka,Spryt,Dwie Pary,1,Działa natychmiast,Zasięg różny,"Pozwala skopiować Kant rzucony wcześniej w tej samej rundzie, pod warunkiem że rzucono go w odległości nie przekraczającej 5 jardów na poziom Kantowania. Oryginalny Kant musi wyjść by dało się go skopiować. Skopiowany Kant działa tak, jakby rzucono go na ORYGINALNEJ ręce (czyli skopiowanie Kanta, przy którym Kantujący wyciągnął Strita również liczy się jako Kant na Stricie), choć wszystkie parametry Kanta zależne od cech i umiejętności Kanciarza zależne są od tych parametrów u rzucającego Two of a Kind (na przykład, jeśli Kanciarz z Kantowaniem 5 rzuci Soul Blast i wyciągnie Fula, a inny Kanciarz z Kantowaniem 3 skopiuje go, to skopiowany Kant zadaje obrażenia jak przy Fulu, ale ma zasięg jak przy Kantowaniu 3 – 150 jardów, nie 250 jak przy oryginalnym Kancie).",,,,,,,,,,,
Metal Mage,Upgrade,Ulepszenie,Spryt,-,2,Działa 1 rundę/H,Dotyk,"Rzucenie tego Kanta pozwala tymczasowo zmodyfikować szalony wynalazek (Kant nie działa na zwykłe maszyny i urządzenia), „ulepszając” go (np. pistolet Gatlinga do shotguna Gatlinga, eliksir leczniczy do eliksiru wskrzeszającego). Pozwala to ulepszyć wynalazek tak, jakby ręka potrzebna do jego zaprojektowania była o poziom wyższa.
Ręka potrzebna do działania Kanta jest o 2 niższa niż ręka, do jakiej Kanciarz chce „upgrade-ować” wynalazek. Na przykład, by ulepszyć maszynę z Trójki do Strita, Kanciarz potrzebuje co najmniej Dwóch Par. Dokładne efekty „ugrade-owania” zależą od opisu podanego przez gracza i od decyzji Szeryfa.
Efektem ubocznym Kanta jest to, że maszyna ma Niezawodność równą 10, plus dwa za każdą rękę powyżej minimalnej (lub oryginalną Niezawodność danego wynalazku, jeśli jest ona niższa). Można zwiększać tę Niezawodność (np. Kantem „Tweak”), ale żaden wynalazek poddany działaniu Kanta Upgrage nigdy nie będzie miał Niezawodności większej niż 16.
Rzucenie Kanta wymaga pomocy manitou, tak więc nie umożliwia Kanciarzowi „normalnej” konstrukcji wynalazków podobnych do właśnie stworzonego, nawet jeśli jest on Szalonym Naukowcem. Jeśli chce stworzyć podobną maszynę, musi stworzyć projekt według normalnych reguł Szalonej Nauki.
",,,,,,,,,,,
Shootist,Vim 'n' Vigor,Odporny na Ból,Spryt,As,1,1 Tchu/rundę,Dotyk,"Cel Kanta ma podwyższony Wigor, ale tylko na potrzeby testów Ogłuszenia i Otrząsania się. Minimalna ręka daje +1 kostkę do testów Wigoru, każda następna kolejną.",1,2,3,4,5,6,7,8,9,10,11
Podstawka,Vittles,Stoliczku Nakryj Się,Wiedza,As,10 minut,Dziala stale,Dotyk,"Tworzy niezbyt smaczny i niezbyt pożywny, ale sycący posiłek dla jednej lub więcej osób. Wyciągnięcie Asa pozwala nakarmić do syta jedną osobę, za każdą następną rękę dwie następne. Jedzenie jest podłe w smaku i nie można się nim odżywiać regularnie – po tylu dniach, ile wynosi poziom Kantowania rzucającego Vittles osoby żywiące się tylko pochodzącym z tego Kanta jedzeniem zaczynają mieć objawy niedożywienia – tracą 1 Tchu dziennie. Każdy tak utracony punkt Tchu jest odzyskany po 1 dniu jedzenia do syta.",1,3,5,7,9,11,13,15,17,19,21
Podstawka,Warnin' Bells,Dzwonek Alarmowy,Spostrzegawczość,As,1,Działa natychmiast,Zasięg 10 jardów/H,"Powoduje przełamanie Zaskoczenia u osób, które nie zdały odpowiedniego testu na początku rundy walki. Osoby na które zadziałał Kant natychmiast rzucają za Quickness, otrzymują Karty Akcji, i mogą normalnie działać przez resztę rundy. Wszystkie otrzymane karty, które już „przeszły” w danej rundzie (czyli wyższe niż karta, na której rzucono Warnin' Bells) są automatycznie odrzucane i nie mogą być chowane do rękawa. Inne karty Akcji działają normalnie.",1,3,5,7,9,11,13,15,17,19,21
Metal Mage,Waste Product,Produkt odpadowy,Wiedza,Para,1,Działa stale,Dotyk,"Zmienia paliwa (wliczając w to proch, dynamit etc.) w popiół. Można rzucić ten Kant tylko na coś, co jest paliwem (np. Kant działa na drewno porąbane na opał, ale z jakiegoś powodu nie działa na drewniane meble). Kant z jakiegoś powodu nigdy nie działa na upioryt. Minimalna wymagana ręka to zwykle Para.",-,K4,K6,K8,K10,K12,K20,K20,K20,K20,K20
Podstawka,Watchdog,Zły Pies,Spostrzegawczość,Para,5 minut,Działa 1 godzinę/H,Dotyk,"Kanciarz rzuca ten Kant na obszar o promieniu do 10 stóp na poziom Kantowania (wybierając przy tym słowo stanowiące „hasło”). Od tego momentu Kanciarz otrzyma natychmiastowe ostrzeżenie, jeśli na obszar Kanta wejdzie dowolna osoba, zwierzę (większe niż normalnych rozmiarów owad) lub Abominacja – i nie wypowie „hasła”. Efekt ten działa niezależnie od odległości, w jakiej znajduje się Kanciarz od chronionego obszaru.",,,,,,,,,,,
Metal Mage,Weird Science,Dziwna nauka,Wiedza,Para,1,Działa 1 minutę/H,Na siebie,"Kant pozwala na rozwiązywanie technicznych, matematycznych i naukowych problemów za pomocą nadnaturalnej inspiracji. Rozwiązania są zwykle nielogiczne, niespójne, by nie powiedzieć szalone, ale często działają.",-,0,2,4,6,8,10,12,14,16,18
Podstawka,Whirlpool,Wir,Wiedza,Para,2,Koncentracja,Zasięg 25 jardów/H,"Tworzy wir wodny, o promieniu zależnym od pociągniętej ręki. Każdy statek o długości nie większej niż połowa promienia wiru, który znajdzie się w jego pobliżu musi zdać test Drivin' o poziomie zależnym od pociągniętej ręki. Jeśli test zostanie oblany, statek otrzymuje 2k6 obrażeń od tonięcia. Jeśli test zostanie zdany, statek nie tonie, ale kapitan nie potrafi go wyprowadzić z wiru. Przy przebiciu możliwe jest wydostanie się z wiru. Można próbować jednego takiego testu w każdej rundzie.",-,"PT 7, 40 ft","9, 60","11, 80","13, 100","15, 120","17, 140","19, 160","21, 180","23, 200","25, 220"
Podstawka,Widow's Web,Pajęczyna,Duch,As,2,Działa 5 rund/H,Zasięg 5 jardów/H,Tworzy sieć przypominającą pajęczynę o rozmiarze do 10 na 10 jardów na poziom Kantowania. Każdy kto dotknie sieci musi wykonać test Siły (PT 5) by się uwolnić. Każdy niezdany test zwiększa PT o 2 (szamotanina powoduje zaplątanie się w sieć). Próba rozerwania sieci (przez osobę nie uwięzioną w niej) wymaga testu Siły o PT zależnym od pociągniętej ręki. Sieć można też spalić – wystarczy ogień rozmiaru mniej więcej pochodni i jedna Akcja – sieć zostaje zniszczona przez ogień w ciągu 1 rundy (każdy kto dotyka wtedy sieci dostaje 2k12 obrażeń od ognia).,5,7,9,11,13,15,17,19,21,23,25
Podstawka,Wildfire,Pożar,Duch,Para,1,Działa natychmiast,Zasięg 10 jardów/H,"Podpala wszystko w promieniu do 5 jardów na poziom Kantowania. Kanciarz nie ma wpływu na powstały w ten sposób ogień, nie jest on także magiczny. Rodzaj materiału, jaki można podpalić zależy od pociągniętej ręki (Para: sucha trawa lub papier, Dwie Pary: suchy chrust, Trójka: cienka tkanina, patyki, Strit: gałęzie, włosy, dowolna tkanina, Kolor: meble, Ful: dowolne drewno, Kareta: żywe drzewa, Poker: żywe zwierzęta, Królewski Poker: wszystko, co jest potencjalnie palne).",,,,,,,,,,,
Metal Mage,Wire Tap,Podsłuch,Spostrzegawczość,As,1,Koncentracja,Zasięg 20 jardów/H,"Rzucenie Kanta tworzy niematerialny, ledwie widoczny drut telegraficzny sięgający od uszu Kanciarza do pobliskiej linii telegraficznej (o ile znajduje się ona w zasięgu Kanta). Dopóki utrzymuje koncentrację, Kanciarz może wykorzystywać ten drut w stopniu zależnym od pociągniętej ręki:",Może słuchać wszystkich wysłanych i otrzymanych wiadomości;,,"Sprawić, że wybrana przez niego wiadomość nie zostanie wysłana lub otrzymana;",Usłyszeć wszystkie wiadomości wysłane w ciągu ostatnich 24 godzin;,,,,,,,
Metal Mage,Zilch,"Nic, null, nada",Duch,-,1,Działa 1 rundę/H,Zasięg 5 jardów/H,"Rzucenie tego Kanta przywraca naturalny porządek praw fizyki i sprawia, że szalony wynalazek przestaje działać na czas działania Kanta. Minimalna ręka potrzebna, by Kant zadziałał jest o 2 niższa niż ręka potrzebna do zaprojektowania danego szalonego wynalazku.",,,,,,,,,,,
